# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-G/S-7-POLCOM-G_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-G/S-7-POLCOM-G_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-G/S-7-POLCOM-G_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-7-POLCOM-G/S-7-POLCOM-G_unmatched_2.fastq.gz -n S-7-POLCOM-G -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-7-POLCOM-G
ref_mOTU_v31_00168	Pseudomonas koreensis/fluorescens [Pseudomonas sp. GM30/Pseudomonas sp. URIL14HWK12:I6/Pseudomonas sp. H1h/Pseudomonas sp. RIT288/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas sp. W15Feb9B]	NA	3
ref_mOTU_v31_00412	Collimonas pratensis	279113	1
ref_mOTU_v31_00554	Janthinobacterium agaricidamnosum	55508	1
ref_mOTU_v31_01131	Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	269660	2
ref_mOTU_v31_01132	Methylobacterium pseudosasicola	582667	3
ref_mOTU_v31_01133	Methylobacterium sp. GXS13	1730094	1
ref_mOTU_v31_01134	Methylobacterium oryzae/phyllosphaerae [Methylobacterium sp. UNCCL110/Methylobacterium sp. UNCCL125/Methylobacterium oryzae/Methylobacterium phyllosphaerae]	NA	1
ref_mOTU_v31_01135	Bacteria sp. [Methylobacterium sp. 285MFTsu5.1/Methylobacterium sp. EUR3 AL-11/Methylobacterium sp. C1/Methylobacterium sp. 275MFSha3.1/Methylobacterium sp. UNC300MFChir4.1/Methylobacterium sp. 13MFTsu3.1M2/Methylobacterium sp. ME121/Methylobacterium sp. Leaf361/Methylobacterium sp. yr668/Methylobacterium radiotolerans/Asanoa ferruginea]	NA	2
ref_mOTU_v31_01137	Methylobacterium mesophilicum	39956	2
ref_mOTU_v31_01138	Methylobacterium phyllostachyos	582672	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	2
ref_mOTU_v31_07332	Granulicella tundricola	940615	1
ref_mOTU_v31_10367	Pseudonocardia sp. 73-21	1895809	2
ref_mOTU_v31_11157	[Polyangium] brachysporum	413882	1
ref_mOTU_v31_11779	Sphingomonas sp. PR090111-T3T-6A	685778	1
ext_mOTU_v31_15014	Bradyrhizobiaceae species incertae sedis	NA	1
ext_mOTU_v31_15161	Methylobacterium species incertae sedis	NA	1
unassigned	unassigned	NA	17
