# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/N-3-POLJUN-G/N-3-POLJUN-G_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/N-3-POLJUN-G/N-3-POLJUN-G_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/N-3-POLJUN-G/N-3-POLJUN-G_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/N-3-POLJUN-G/N-3-POLJUN-G_unmatched_2.fastq.gz -n N-3-POLJUN-G -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	N-3-POLJUN-G
ref_mOTU_v31_00129	Pseudomonas sp. [Pseudomonas sp. AP19/Pseudomonas costantinii/Pseudomonas sp. Leaf15/Pseudomonas sp. 58 R 3/Pseudomonas salomonii/Pseudomonas antarctica/Pseudomonas fluorescens/Pseudomonas putida/Pseudomonas simiae]	NA	1
ref_mOTU_v31_00133	 Pseudomonas sp. [Paraburkholderia insulsa/Pseudomonadales bacterium RIFCSPLOWO2_12_60_38/Pseudomonadales bacterium RIFCSPLOWO2_12_FULL_59_450/Pseudomonas azotoformans/Pseudomonas canadensis/Pseudomonas extremorientalis/Pseudomonas fluorescens/Pseudomonas lactis/Pseudomonas libanensis/Pseudomonas marginalis/Pseudomonas paralactis/Pseudomonas simiae/Pseudomonas sp. 24 E 1/Pseudomonas sp. 24 R 17/Pseudomonas sp. 35 E 8/Pseudomonas sp. 52 E 6/Pseudomonas sp. 58 R 12/Pseudomonas sp. AP42/Pseudomonas sp. BRG-100/Pseudomonas sp. bs2935/Pseudomonas sp. BTN1/Pseudomonas sp. CBZ-4/Pseudomonas sp. CF150/Pseudomonas sp. CFT9/Pseudomonas sp. CHM02/Pseudomonas sp. Eur1 9.41/Pseudomonas sp. FH1/Pseudomonas sp. FSL W5-0203/Pseudomonas sp. ICMP 19500/Pseudomonas sp. MF6394/Pseudomonas sp. NBRC 111137/Pseudomonas sp. NBRC 111138/Pseudomonas sp. NFPP02/Pseudomonas sp. NFPP04/Pseudomonas sp. NFPP11/Pseudomonas sp. NFPP24/Pseudomonas sp. NFPP28/Pseudomonas sp. NFR02/Pseudomonas sp. NFR09/Pseudomonas sp. OV546/Pseudomonas sp. R81/Pseudomonas sp. Root569/Pseudomonas sp. Root9/Pseudomonas sp. S1E40/Pseudomonas sp. WCS374/Pseudomonas synxantha/Pseudomonas tolaasii/Pseudomonas trivialis]	NA	4
ref_mOTU_v31_00140	Pseudomonas chlororaphis [Pseudomonas sp. GM17/Pseudomonas sp. NFIX51/Pseudomonas sp. NFACC41-3/Pseudomonas sp. NFPP07/Pseudomonas sp. NFIX28/Pseudomonas chlororaphis]	587753	2
ref_mOTU_v31_00150	Pseudomonas sp. [Pseudomonas sp. GM78/Pseudomonas sp. G5(2012)/Pseudomonas sp. Root562/Pseudomonas umsongensis/Pseudomonas fluorescens/Pseudomonas putida/Pseudomonas reinekei]	NA	1
ref_mOTU_v31_00154	Pseudomonas fluorescens/jessenii [Pseudomonas sp. GM33/Pseudomonas sp. GM48/Pseudomonas sp. GM55/Pseudomonas sp. GM74/Pseudomonas sp. UW4/Pseudomonas sp. Root68/Pseudomonas sp. Root71/Pseudomonas sp. B28(2017)/Pseudomonas fluorescens/Pseudomonas jessenii]	NA	1
ref_mOTU_v31_00164	Pseudomonas sp. [Pseudomonas frederiksbergensis/Pseudomonas sp. GM102/Pseudomonas sp. GM21/Pseudomonas sp. GM50/Pseudomonas sp. GM79/Pseudomonas sp. GM41(2012)/Pseudomonas sp. URMO17WK12:I12/Pseudomonas sp. URMO17WK12:I11/Pseudomonas sp. C9/Pseudomonas sp. QTF5/Pseudomonas lini/Pseudomonas sp. RIT-PI-q/Pseudomonas sp. 655/Pseudomonas sp. Root329/Pseudomonas sp. FSL W5-0299/Pseudomonas fluorescens/Pseudomonas syringae/Pseudomonas sp. In5/Pseudomonas arsenicoxydans/Pseudomonas mandelii]	NA	5
ref_mOTU_v31_00167	Pseudomonas sp. [Pseudomonas sp. GM16/Pseudomonas sp. GM80/Pseudomonas sp. P1.31/Pseudomonas sp. RIT-PI-r/Pseudomonas sp. ok266/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas chlororaphis]	NA	5
ref_mOTU_v31_00168	Pseudomonas koreensis/fluorescens [Pseudomonas sp. GM30/Pseudomonas sp. URIL14HWK12:I6/Pseudomonas sp. H1h/Pseudomonas sp. RIT288/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas sp. W15Feb9B]	NA	4
ref_mOTU_v31_00169	Pseudomonas sp. [Pseudomonas sp. R62/Pseudomonas sp. B10/Pseudomonas granadensis/Pseudomonas sp. PTA1/Pseudomonas sp. RIT-PI-o/Pseudomonas sp. Leaf434/Pseudomonas sp. Z003-0.4C(8344-21)/Pseudomonas koreensis/Pseudomonas fluorescens/Pseudomonas moraviensis]	NA	3
ref_mOTU_v31_00170	Pseudomonas fluorescens/putida [Pseudomonas sp. GM25/Pseudomonas sp. DR 5-09/Pseudomonas sp. NFIX49/Pseudomonas sp. NFIX46/Pseudomonas sp. MS586/Pseudomonas sp. R47(2017)/Pseudomonas sp. R45(2017)/Pseudomonas sp. R43(2017)/Pseudomonas sp. R41(2017)/Pseudomonas sp. R40(2017)/Pseudomonas sp. R39(2017)/Pseudomonas sp. R38(2017)/Pseudomonas sp. R36(2017)/Pseudomonas sp. R35(2017)/Pseudomonas sp. R34(2017)/Pseudomonas sp. R33(2017)/Pseudomonas sp. R32(2017)/Pseudomonas sp. R31(2017)/Pseudomonas sp. R24(2017)/Pseudomonas sp. R23(2017)/Pseudomonas sp. R22(2017)/Pseudomonas sp. R15(2017)/Pseudomonas sp. B40(2017)/Pseudomonas sp. B39(2017)/Pseudomonas sp. B38(2017)/Pseudomonas sp. B37(2017)/Pseudomonas sp. B36(2017)/Pseudomonas sp. B34(2017)/Pseudomonas sp. B33(2017)/Pseudomonas sp. B32(2017)/Pseudomonas sp. B31(2017)/Pseudomonas sp. B30(2017)/Pseudomonas sp. B29(2017)/Pseudomonas sp. B27(2017)/Pseudomonas sp. B26(2017)/Pseudomonas sp. B25(2017)/Pseudomonas sp. B21(2017)/Pseudomonas sp. B20(2017)/Pseudomonas sp. B1(2017)/Pseudomonas sp. B17(2017)/Pseudomonas sp. B16(2017)/Pseudomonas sp. B15(2017)/Pseudomonas fluorescens/Pseudomonas putida]	NA	2
